name,center_x,center_y,width,height,filename,W,H
cautionary-pedestrian-crossing,754,690,37,42,Screenshot (161).png,1920,1080
cautionary-pedestrian-crossing,215,431,140,162,Screenshot (162).png,1920,1080
cautionary-hump,696,616,76,73,Screenshot (163).png,1920,1080
cautionary-hump,691,524,36,35,Screenshot (164).png,1920,1080
cautionary-hump,662,596,64,55,Screenshot (165).png,1920,1080
mandatory-speed-limit,705,658,33,53,Screenshot (167).png,1920,1080
cautionary-hump,525,532,45,36,Screenshot (168).png,1920,1080
mandatory-speed-limit,651,662,38,50,Screenshot (169).png,1920,1080
cautionary-go-slow,256,627,44,61,Screenshot (170).png,1920,1080
cautionary-barrier-ahead,538,632,56,65,Screenshot (171).png,1920,1080
mandatory-speed-limit,707,681,32,44,Screenshot (172).png,1920,1080
mandatory-speed-limit,537,635,49,63,Screenshot (173).png,1920,1080
mandatory-stop,809,695,34,35,Screenshot (174).png,1920,1080
mandatory-stop,720,666,53,58,Screenshot (175).png,1920,1080
mandatory-speed-limit,745,630,59,87,Screenshot (176).png,1920,1080
cautionary-pedestrian-crossing,516,548,63,83,Screenshot (177).png,1920,1080
mandatory-speed-limit,583,495,39,65,Screenshot (178).png,1920,1080
cautionary-pedestrian-crossing,694,604,56,78,Screenshot (179).png,1920,1080
mandatory-speed-limit,307,397,67,108,Screenshot (180).png,1920,1080
cautionary-hump,821,699,35,29,Screenshot (189).png,1920,1080
cautionary-hump,531,604,89,87,Screenshot (190).png,1920,1080
cautionary-hump,265,482,69,81,Screenshot (191).png,1920,1080
cautionary-hump,816,692,30,29,Screenshot (192).png,1920,1080
cautionary-hump,432,502,56,50,Screenshot (193).png,1920,1080
cautionary-hump,366,542,97,109,Screenshot (194).png,1920,1080
cautionary-hump,372,465,83,78,Screenshot (195).png,1920,1080
cautionary-hump,628,539,46,36,Screenshot (196).png,1920,1080
cautionary-pedestrian-crossing,352,442,83,70,Screenshot (198).png,1920,1080
cautionary-pedestrian-crossing,554,473,50,53,Screenshot (199).png,1920,1080
cautionary-hump,196,470,77,75,Screenshot (200).png,1920,1080
cautionary-pedestrian-crossing,483,547,49,50,Screenshot (200).png,1920,1080
cautionary-hump,426,486,55,55,Screenshot (201).png,1920,1080
cautionary-pedestrian-crossing,584,534,38,40,Screenshot (201).png,1920,1080
mandatory-speed-limit,749,690,35,32,Screenshot (204).png,1920,1080
mandatory-speed-limit,667,672,48,41,Screenshot (205).png,1920,1080
cautionary-hump,808,659,47,42,Screenshot (206).png,1920,1080
cautionary-hump,415,523,40,38,Screenshot (207).png,1920,1080
cautionary-hump,552,644,78,67,Screenshot (209).png,1920,1080
cautionary-right-hand-curve,352,571,87,72,Screenshot (210).png,1920,1080
cautionary-right-hand-curve,450,605,78,62,Screenshot (211).png,1920,1080
cautionary-hump,422,493,59,56,Screenshot (212).png,1920,1080
cautionary-pedestrian-crossing,482,534,45,43,Screenshot (215).png,1920,1080
cautionary-pedestrian-crossing,494,537,43,42,Screenshot (216).png,1920,1080
mandatory-overtaking-prohibited,691,674,35,35,Screenshot (217).png,1920,1080
mandatory-speed-limit,807,706,25,24,Screenshot (217).png,1920,1080
cautionary-hump,819,700,23,20,Screenshot (218).png,1920,1080
mandatory-overtaking-prohibited,318,573,87,69,Screenshot (219).png,1920,1080
cautionary-hump,719,680,26,27,Screenshot (220).png,1920,1080
cautionary-hump,788,665,47,50,Screenshot (221).png,1920,1080
mandatory-overtaking-prohibited,527,515,45,50,Screenshot (222).png,1920,1080
mandatory-restriction-ends,9,445,87,115,Screenshot (223).png,1920,1080
cautionary-pedestrian-crossing,282,504,89,95,Screenshot (223).png,1920,1080
mandatory-restriction-ends,357,565,90,78,Screenshot (224).png,1920,1080
cautionary-pedestrian-crossing,483,577,64,69,Screenshot (224).png,1920,1080
cautionary-hump,770,668,42,50,Screenshot (225).png,1920,1080
cautionary-hump,648,610,73,65,Screenshot (226).png,1920,1080
mandatory-restriction-ends,321,493,62,53,Screenshot (227).png,1920,1080
mandatory-speed-limit,473,519,49,45,Screenshot (230).png,1920,1080
mandatory-overtaking-prohibited,538,533,40,37,Screenshot (231).png,1920,1080
cautionary-hump,446,501,55,65,Screenshot (232).png,1920,1080
cautionary-right-hand-curve,714,683,45,54,Screenshot (233).png,1920,1080
cautionary-hump,710,670,47,44,Screenshot (235).png,1920,1080
cautionary-hump,516,649,31,34,Screenshot (236).png,1920,1080
cautionary-give-way,683,694,25,20,Screenshot (236).png,1920,1080
informatory-advance-direction-sign,743,542,154,54,Screenshot (236).png,1920,1080
cautionary-give-way,401,630,47,39,Screenshot (237).png,1920,1080
informatory-advance-direction-sign,525,353,282,115,Screenshot (237).png,1920,1080
mandatory-speed-limit,689,560,19,19,Screenshot (238).png,1920,1080
informatory-advance-direction-sign,1080,263,249,100,Screenshot (239).png,1920,1080
cautionary-hump,352,549,22,26,Screenshot (239).png,1920,1080
cautionary-hump,565,511,38,39,Screenshot (241).png,1920,1080
mandatory-no-stopping-or-standing,428,501,46,38,Screenshot (242).png,1920,1080
cautionary-hump,734,548,22,22,Screenshot (242).png,1920,1080
mandatory-speed-limit,533,496,43,38,Screenshot (243).png,1920,1080
mandatory-stop,492,484,39,41,Screenshot (244).png,1920,1080
cautionary-y-merge,416,394,104,101,Screenshot (245).png,1920,1080
cautionary-y-merge,360,369,98,108,Screenshot (246).png,1920,1080
cautionary-y-merge,589,473,61,62,Screenshot (247).png,1920,1080
mandatory-u-turn-prohibited,678,536,31,27,Screenshot (251).png,1920,1080
cautionary-t-intersection,567,503,47,44,Screenshot (252).png,1920,1080
mandatory-speed-limit,1082,523,50,39,Screenshot (253).png,1920,1080
cautionary-right-hand-curve,1231,448,58,55,Screenshot (254).png,1920,1080
cautionary-hump,1168,519,52,48,Screenshot (255).png,1920,1080
cautionary-t-intersection,545,475,61,56,Screenshot (256).png,1920,1080
cautionary-t-intersection,749,542,29,26,Screenshot (257).png,1920,1080
cautionary-hump,1097,534,41,33,Screenshot (257).png,1920,1080
cautionary-hump,1198,484,67,66,Screenshot (258).png,1920,1080
cautionary-right-hand-curve,1139,520,45,35,Screenshot (259).png,1920,1080
cautionary-right-hand-curve,1243,486,45,39,Screenshot (260).png,1920,1080
mandatory-compulsory-ahead,1230,484,56,53,Screenshot (262).png,1920,1080
cautionary-right-hand-curve,1191,490,73,53,Screenshot (263).png,1920,1080
cautionary-right-hand-curve,1062,529,46,36,Screenshot (264).png,1920,1080
mandatory-u-turn-prohibited,1291,487,53,48,Screenshot (264).png,1920,1080
cautionary-right-hand-curve,997,556,24,23,Screenshot (265).png,1920,1080
mandatory-u-turn-prohibited,1062,544,22,19,Screenshot (265).png,1920,1080
cautionary-hump,577,510,35,30,Screenshot (266).png,1920,1080
cautionary-y-merge,1210,473,68,61,Screenshot (266).png,1920,1080
cautionary-pedestrian-crossing,539,488,50,46,Screenshot (267).png,1920,1080
mandatory-stop,1668,454,192,176,Screenshot (268).png,1920,1080
mandatory-stop,1368,482,156,154,Screenshot (269).png,1920,1080
cautionary-pedestrian-crossing,536,585,94,81,Screenshot (271).png,1920,1080
cautionary-y-merge,1592,548,88,83,Screenshot (272).png,1920,1080
cautionary-hump,668,648,46,43,Screenshot (272).png,1920,1080
mandatory-u-turn-prohibited,1410,658,43,34,Screenshot (273).png,1920,1080
cautionary-right-hand-curve,1206,696,35,32,Screenshot (273).png,1920,1080
cautionary-left-hand-curve,1385,677,33,32,Screenshot (274).png,1920,1080
cautionary-left-hand-curve,1477,660,42,36,Screenshot (275).png,1920,1080
cautionary-right-hand-curve,1341,690,42,32,Screenshot (276).png,1920,1080
cautionary-hump,1411,666,61,61,Screenshot (277).png,1920,1080
cautionary-hump,1335,692,43,44,Screenshot (278).png,1920,1080
cautionary-t-intersection,876,723,34,31,Screenshot (278).png,1920,1080
cautionary-hump,1116,755,17,17,Screenshot (278).png,1920,1080
cautionary-t-intersection,773,681,52,55,Screenshot (279).png,1920,1080
cautionary-hump,1142,752,18,19,Screenshot (279).png,1920,1080
cautionary-hump,1308,705,48,45,Screenshot (280).png,1920,1080
mandatory-speed-limit,643,688,44,48,Screenshot (281).png,1920,1080
cautionary-hump,603,669,62,70,Screenshot (282).png,1920,1080
informatory-advance-direction-sign,744,719,87,57,Screenshot (282).png,1920,1080
informatory-advance-direction-sign,1415,524,154,86,Screenshot (283).png,1920,1080
cautionary-hump,643,734,33,36,Screenshot (283).png,1920,1080
cautionary-hump,432,556,78,87,Screenshot (284).png,1920,1080
mandatory-speed-limit,843,738,23,21,Screenshot (284).png,1920,1080
mandatory-speed-limit,356,672,32,36,Screenshot (285).png,1920,1080
mandatory-speed-limit,821,741,22,20,Screenshot (285).png,1920,1080
mandatory-speed-limit,744,684,32,40,Screenshot (286).png,1920,1080
cautionary-hump,679,539,26,27,Screenshot (287).png,1920,1080
mandatory-speed-limit,529,540,29,32,Screenshot (288).png,1920,1080
cautionary-right-hand-curve,447,545,48,49,Screenshot (289).png,1920,1080
cautionary-right-hand-curve,730,573,18,18,Screenshot (290).png,1920,1080
cautionary-hump,691,715,38,41,Screenshot (291).png,1920,1080
mandatory-overtaking-prohibited,638,698,45,46,Screenshot (292).png,1920,1080
mandatory-speed-limit,812,749,24,24,Screenshot (292).png,1920,1080
mandatory-speed-limit,694,700,45,43,Screenshot (293).png,1920,1080
cautionary-go-slow,726,699,34,37,Screenshot (294).png,1920,1080
cautionary-pedestrian-crossing,628,672,51,50,Screenshot (295).png,1920,1080
cautionary-hump,629,658,58,63,Screenshot (296).png,1920,1080
cautionary-hump,347,438,75,72,Screenshot (297).png,1920,1080
mandatory-restriction-ends,377,411,70,81,Screenshot (298).png,1920,1080
cautionary-pedestrian-crossing,466,422,73,72,Screenshot (298).png,1920,1080
mandatory-speed-limit,830,732,26,24,Screenshot (299).png,1920,1080
mandatory-restriction-ends,708,523,48,39,Screenshot (300).png,1920,1080
cautionary-hump,307,467,65,70,Screenshot (301).png,1920,1080
cautionary-ungaurded-level-crossing,403,517,39,31,Screenshot (302).png,1920,1080
cautionary-hump,752,565,17,17,Screenshot (302).png,1920,1080
mandatory-overtaking-prohibited,11,450,51,65,Screenshot (303).png,1920,1080
cautionary-ungaurded-level-crossing,718,561,18,16,Screenshot (303).png,1920,1080
mandatory-overtaking-prohibited,381,523,41,40,Screenshot (304).png,1920,1080
mandatory-speed-limit,642,565,22,22,Screenshot (304).png,1920,1080
mandatory-speed-limit,1108,518,45,45,Screenshot (305).png,1920,1080
cautionary-right-hand-curve,1236,533,34,39,Screenshot (306).png,1920,1080
cautionary-right-hand-curve,1161,552,27,28,Screenshot (307).png,1920,1080
cautionary-right-hand-curve,1243,501,48,56,Screenshot (308).png,1920,1080
cautionary-hump,1301,485,70,72,Screenshot (309).png,1920,1080
cautionary-hump,1038,568,24,23,Screenshot (310).png,1920,1080
cautionary-t-intersection,433,462,55,61,Screenshot (311).png,1920,1080
cautionary-hump,1012,576,18,18,Screenshot (311).png,1920,1080
cautionary-hump,1165,510,51,51,Screenshot (312).png,1920,1080
cautionary-t-intersection,674,532,44,35,Screenshot (312).png,1920,1080
cautionary-hump,1279,481,65,73,Screenshot (313).png,1920,1080
cautionary-right-hand-curve,1182,529,27,31,Screenshot (314).png,1920,1080
cautionary-left-hand-curve,1303,474,45,43,Screenshot (316).png,1920,1080
cautionary-school-ahead,403,460,46,56,Screenshot (325).png,1920,1080
cautionary-left-hand-curve,882,733,16,15,Screenshot (326).png,1920,1080
informatory-advance-direction-sign,448,661,44,39,Screenshot (326).png,1920,1080
cautionary-left-hand-curve,741,676,32,36,Screenshot (327).png,1920,1080
cautionary-left-hand-curve,652,713,25,27,Screenshot (328).png,1920,1080
mandatory-compulsory-ahead,695,713,23,23,Screenshot (329).png,1920,1080
cautionary-left-hand-curve,808,707,25,25,Screenshot (330).png,1920,1080
mandatory-speed-limit,817,683,27,38,Screenshot (331).png,1920,1080
mandatory-speed-limit,756,652,44,56,Screenshot (332).png,1920,1080
informatory-petrol-pump,895,668,36,51,Screenshot (333).png,1920,1080
mandatory-speed-limit,813,700,28,35,Screenshot (335).png,1920,1080
cautionary-t-intersection,686,660,38,51,Screenshot (336).png,1920,1080
mandatory-speed-limit,757,655,41,57,Screenshot (338).png,1920,1080
cautionary-round-about,761,655,25,27,Screenshot (339).png,1920,1080
mandatory-compulsory-ahead,887,731,18,12,Screenshot (339).png,1920,1080
mandatory-compulsory-ahead,759,685,36,30,Screenshot (340).png,1920,1080
mandatory-speed-limit,743,718,27,27,Screenshot (342).png,1920,1080
mandatory-speed-limit,840,712,13,16,Screenshot (342).png,1920,1080
mandatory-speed-limit,181,468,21,23,Screenshot (343).png,1920,1080
mandatory-speed-limit,329,622,52,46,Screenshot (344).png,1920,1080
mandatory-speed-limit,780,685,22,22,Screenshot (345).png,1920,1080
mandatory-speed-limit,648,682,22,25,Screenshot (346).png,1920,1080
cautionary-hump,759,688,16,18,Screenshot (347).png,1920,1080
cautionary-hump,338,546,44,49,Screenshot (348).png,1920,1080
cautionary-cross-road,719,680,18,21,Screenshot (348).png,1920,1080
mandatory-stop,802,700,21,25,Screenshot (348).png,1920,1080
cautionary-cross-road,564,609,31,37,Screenshot (349).png,1920,1080
mandatory-stop,750,666,30,36,Screenshot (349).png,1920,1080
cautionary-pedestrian-crossing,176,415,84,136,Screenshot (350).png,1920,1080
mandatory-speed-limit,484,656,43,43,Screenshot (351).png,1920,1080
mandatory-speed-limit,324,501,22,26,Screenshot (352).png,1920,1080
mandatory-speed-limit,575,625,30,33,Screenshot (353).png,1920,1080
mandatory-speed-limit,625,675,32,36,Screenshot (354).png,1920,1080
mandatory-speed-limit,417,545,49,60,Screenshot (355).png,1920,1080
informatory-advance-direction-sign,984,323,261,86,Screenshot (355).png,1920,1080
mandatory-speed-limit,53,501,24,26,Screenshot (356).png,1920,1080
mandatory-speed-limit,216,489,19,27,Screenshot (356).png,1920,1080
informatory-bus-stop,325,590,42,70,Screenshot (358).png,1920,1080
cautionary-cross-road,609,685,20,20,Screenshot (358).png,1920,1080
mandatory-stop,1221,682,57,63,Screenshot (358).png,1920,1080
cautionary-cross-road,447,624,27,32,Screenshot (359).png,1920,1080
informatory-petrol-pump,351,651,20,35,Screenshot (360).png,1920,1080
cautionary-pedestrian-crossing,545,641,31,45,Screenshot (360).png,1920,1080
mandatory-stop,600,633,35,42,Screenshot (360).png,1920,1080
cautionary-pedestrian-crossing,690,651,29,40,Screenshot (360).png,1920,1080
informatory-petrol-pump,195,613,24,40,Screenshot (361).png,1920,1080
mandatory-stop,409,557,49,79,Screenshot (361).png,1920,1080
cautionary-pedestrian-crossing,371,585,31,58,Screenshot (361).png,1920,1080
cautionary-pedestrian-crossing,567,609,42,59,Screenshot (361).png,1920,1080
cautionary-pedestrian-crossing,435,568,59,78,Screenshot (362).png,1920,1080
mandatory-stop,190,482,68,94,Screenshot (362).png,1920,1080
informatory-petrol-pump,66,574,35,55,Screenshot (362).png,1920,1080
mandatory-speed-limit,64,409,59,61,Screenshot (363).png,1920,1080
cautionary-men-at-work,775,715,21,24,Screenshot (364).png,1920,1080
cautionary-men-at-work,700,680,35,29,Screenshot (365).png,1920,1080
cautionary-men-at-work,464,556,69,72,Screenshot (366).png,1920,1080
cautionary-go-slow,1072,702,34,31,Screenshot (367).png,1920,1080
mandatory-speed-limit,686,632,40,40,Screenshot (368).png,1920,1080
mandatory-speed-limit,1029,702,26,20,Screenshot (369).png,1920,1080
mandatory-speed-limit,534,623,38,45,Screenshot (370).png,1920,1080
cautionary-go-slow,1108,645,40,38,Screenshot (370).png,1920,1080
cautionary-round-about,575,580,46,44,Screenshot (371).png,1920,1080
mandatory-stop,506,511,65,92,Screenshot (372).png,1920,1080
cautionary-pedestrian-crossing,586,645,31,33,Screenshot (374).png,1920,1080
cautionary-pedestrian-crossing,562,691,33,32,Screenshot (374).png,1920,1080
informatory-bus-stop,696,700,19,24,Screenshot (374).png,1920,1080
cautionary-pedestrian-crossing,0,437,65,114,Screenshot (375).png,1920,1080
informatory-bus-stop,468,650,27,33,Screenshot (375).png,1920,1080
mandatory-speed-limit,632,659,31,35,Screenshot (376).png,1920,1080
informatory-petrol-pump,744,638,41,59,Screenshot (377).png,1920,1080
informatory-bus-stop,851,688,28,33,Screenshot (377).png,1920,1080
cautionary-round-about,883,702,20,25,Screenshot (377).png,1920,1080
cautionary-round-about,792,662,37,48,Screenshot (378).png,1920,1080
informatory-bus-stop,690,610,50,73,Screenshot (378).png,1920,1080
cautionary-men-at-work,1071,723,18,15,Screenshot (378).png,1920,1080
mandatory-stop,886,719,14,18,Screenshot (378).png,1920,1080
informatory-bus-stop,279,389,106,156,Screenshot (379).png,1920,1080
cautionary-round-about,670,594,50,73,Screenshot (379).png,1920,1080
cautionary-men-at-work,1095,709,20,19,Screenshot (379).png,1920,1080
mandatory-stop,868,712,16,20,Screenshot (379).png,1920,1080
mandatory-stop,839,682,25,32,Screenshot (380).png,1920,1080
cautionary-men-at-work,1343,622,56,45,Screenshot (380).png,1920,1080
cautionary-men-at-work,1367,616,50,51,Screenshot (381).png,1920,1080
mandatory-stop,580,579,55,73,Screenshot (381).png,1920,1080
cautionary-pedestrian-crossing,697,612,55,64,Screenshot (381).png,1920,1080
cautionary-go-slow,1130,730,14,14,Screenshot (382).png,1920,1080
cautionary-go-slow,1439,644,40,33,Screenshot (383).png,1920,1080
cautionary-men-at-work,1114,697,31,26,Screenshot (383).png,1920,1080
cautionary-men-at-work,1018,697,30,29,Screenshot (384).png,1920,1080
cautionary-go-slow,1496,608,55,48,Screenshot (384).png,1920,1080
cautionary-men-at-work,1043,593,72,56,Screenshot (385).png,1920,1080
informatory-advance-direction-sign,536,666,38,32,Screenshot (385).png,1920,1080
mandatory-speed-limit,686,671,36,36,Screenshot (386).png,1920,1080
informatory-bus-stop,694,620,53,66,Screenshot (387).png,1920,1080
informatory-advance-direction-sign,868,587,131,51,Screenshot (387).png,1920,1080
informatory-bus-stop,444,485,109,129,Screenshot (388).png,1920,1080
informatory-advance-direction-sign,838,526,184,83,Screenshot (388).png,1920,1080
cautionary-t-intersection,631,570,58,77,Screenshot (389).png,1920,1080
cautionary-narrow-road-ahead,1421,626,46,44,Screenshot (389).png,1920,1080
mandatory-speed-limit,1161,723,20,17,Screenshot (389).png,1920,1080
cautionary-t-intersection,499,472,72,116,Screenshot (390).png,1920,1080
mandatory-speed-limit,1190,706,16,18,Screenshot (390).png,1920,1080
cautionary-narrow-road-ahead,1632,543,53,55,Screenshot (390).png,1920,1080
mandatory-speed-limit,1361,650,38,35,Screenshot (391).png,1920,1080
cautionary-go-slow,1126,686,29,29,Screenshot (391).png,1920,1080
cautionary-men-at-work,1020,731,14,14,Screenshot (391).png,1920,1080
cautionary-go-slow,1440,540,73,62,Screenshot (392).png,1920,1080
cautionary-men-at-work,1116,715,17,18,Screenshot (392).png,1920,1080
mandatory-speed-limit,895,707,18,18,Screenshot (393).png,1920,1080
cautionary-men-at-work,1312,658,41,35,Screenshot (393).png,1920,1080
mandatory-speed-limit,764,627,39,37,Screenshot (394).png,1920,1080
informatory-bus-stop,734,582,65,86,Screenshot (395).png,1920,1080
cautionary-t-intersection,871,620,42,62,Screenshot (396).png,1920,1080
cautionary-men-at-work,492,631,32,39,Screenshot (397).png,1920,1080
mandatory-speed-limit,1830,428,90,117,Screenshot (398).png,1920,1080
cautionary-go-slow,1733,504,70,79,Screenshot (398).png,1920,1080
cautionary-narrow-road-ahead,1686,601,53,39,Screenshot (398).png,1920,1080
cautionary-go-slow,1657,336,137,115,Screenshot (399).png,1920,1080
cautionary-narrow-road-ahead,1348,573,67,70,Screenshot (399).png,1920,1080
cautionary-go-slow,1030,680,29,29,Screenshot (400).png,1920,1080
cautionary-men-at-work,1075,615,56,44,Screenshot (400).png,1920,1080
cautionary-men-at-work,1473,37,218,196,Screenshot (401).png,1920,1080
cautionary-go-slow,1069,619,56,48,Screenshot (401).png,1920,1080
cautionary-t-intersection,637,627,43,60,Screenshot (402).png,1920,1080
mandatory-speed-limit,1055,730,12,14,Screenshot (402).png,1920,1080
mandatory-speed-limit,1106,684,28,24,Screenshot (403).png,1920,1080
cautionary-men-at-work,1177,702,29,28,Screenshot (403).png,1920,1080
mandatory-horn-prohibited,462,613,38,58,Screenshot (404).png,1920,1080
informatory-hospital,498,615,32,55,Screenshot (405).png,1920,1080
cautionary-round-about,787,677,35,43,Screenshot (406).png,1920,1080
cautionary-narrow-road-ahead,1216,625,47,44,Screenshot (406).png,1920,1080
mandatory-stop,922,727,19,22,Screenshot (406).png,1920,1080
mandatory-stop,898,699,23,29,Screenshot (407).png,1920,1080
cautionary-round-about,613,578,60,80,Screenshot (407).png,1920,1080
mandatory-stop,701,624,45,58,Screenshot (408).png,1920,1080
cautionary-pedestrian-crossing,804,672,32,41,Screenshot (408).png,1920,1080
cautionary-pedestrian-crossing,530,570,61,83,Screenshot (409).png,1920,1080
cautionary-go-slow,1047,566,67,59,Screenshot (410).png,1920,1080
cautionary-narrow-road-ahead,879,699,22,18,Screenshot (410).png,1920,1080
cautionary-narrow-road-ahead,1211,528,83,70,Screenshot (411).png,1920,1080
cautionary-round-about,458,657,33,48,Screenshot (412).png,1920,1080
cautionary-pedestrian-crossing,142,541,58,79,Screenshot (413).png,1920,1080
cautionary-pedestrian-crossing,137,618,53,35,Screenshot (413).png,1920,1080
informatory-bus-stop,363,574,60,94,Screenshot (414).png,1920,1080
mandatory-speed-limit,793,718,20,22,Screenshot (414).png,1920,1080
mandatory-speed-limit,594,661,35,49,Screenshot (415).png,1920,1080
cautionary-narrow-road-ahead,1078,722,31,28,Screenshot (415).png,1920,1080
cautionary-narrow-road-ahead,1340,590,100,92,Screenshot (416).png,1920,1080
mandatory-speed-limit,58,450,92,126,Screenshot (416).png,1920,1080
cautionary-go-slow,1195,632,65,64,Screenshot (417).png,1920,1080
informatory-petrol-pump,549,609,60,77,Screenshot (418).png,1920,1080
cautionary-go-slow,1064,643,47,51,Screenshot (419).png,1920,1080
cautionary-men-at-work,1052,636,49,41,Screenshot (420).png,1920,1080
mandatory-speed-limit,793,680,23,27,Screenshot (420).png,1920,1080
cautionary-men-at-work,1003,719,21,18,Screenshot (420).png,1920,1080
cautionary-men-at-work,1027,696,25,24,Screenshot (421).png,1920,1080
mandatory-speed-limit,663,610,33,38,Screenshot (421).png,1920,1080
cautionary-men-at-work,1088,593,67,58,Screenshot (422).png,1920,1080
mandatory-speed-limit,1060,662,37,35,Screenshot (423).png,1920,1080
cautionary-go-slow,1108,645,50,52,Screenshot (424).png,1920,1080
cautionary-cross-road,524,577,60,76,Screenshot (425).png,1920,1080
mandatory-stop,688,652,37,45,Screenshot (425).png,1920,1080
cautionary-go-slow,1090,717,24,23,Screenshot (425).png,1920,1080
mandatory-stop,516,573,55,69,Screenshot (426).png,1920,1080
cautionary-go-slow,1177,687,41,34,Screenshot (426).png,1920,1080
cautionary-pedestrian-crossing,712,678,28,34,Screenshot (426).png,1920,1080
cautionary-pedestrian-crossing,503,607,54,64,Screenshot (427).png,1920,1080
mandatory-stop,1246,723,23,22,Screenshot (427).png,1920,1080
mandatory-stop,1423,676,39,38,Screenshot (428).png,1920,1080
